eval_id,task_id,run_id,benchmark_id,model_id,judge_backend,judge_model,judge_prompt,expected_date,original_value
1,1793,1,3,10,playground,gemini-2.5-pro,date_fix_v1,April 29 2010,"April 25, 2010"
2,3704,1,3,18,playground,gemini-2.5-pro,date_fix_v1,September 15 2002,"September 15-21, 2002"
3,1820,1,3,11,playground,gemini-2.5-pro,date_fix_v1,December 20 2000,"December 17, 2000"
4,1491,0,3,1,playground,gemini-2.5-pro,date_fix_v1,March 11 2000,"March 5, 2000"
5,1662,1,3,6,playground,gemini-2.5-pro,date_fix_v1,October 13 1997,"Oct. 12 - Oct. 18, 1997"
6,1858,1,3,12,playground,gemini-2.5-pro,date_fix_v1,January 18 2014,"Sun, Jan 12, 2014"
7,1850,0,3,11,playground,gemini-2.5-pro,date_fix_v1,November 8 1994,"Nov 6, 1994"
8,1802,2,3,10,playground,gemini-2.5-pro,date_fix_v1,October 13 1997,"October 12, 1997"
9,1691,0,3,7,playground,gemini-2.5-pro,date_fix_v1,March 16 2012,"Sun, Mar 11, 2012"
10,1842,1,3,11,playground,gemini-2.5-pro,date_fix_v1,June 2 1998,June 2
11,1785,2,3,10,playground,gemini-2.5-pro,date_fix_v1,December 20 2000,"December 17, 2000"
12,1936,0,3,14,playground,gemini-2.5-pro,date_fix_v1,March 16 2012,2012-03-11
13,1614,2,3,5,playground,gemini-2.5-pro,date_fix_v1,November 29 2014,2014-11-22
14,1856,1,3,12,playground,gemini-2.5-pro,date_fix_v1,August 9 2014,"Sun, Aug 3, 2014"
15,1555,1,3,3,playground,gemini-2.5-pro,date_fix_v1,October 24 2009,"Saturday, Oct. 24"
16,1681,1,3,7,playground,gemini-2.5-pro,date_fix_v1,August 9 2014,"Aug 3, 2014"
17,3696,2,3,18,playground,gemini-2.5-pro,date_fix_v1,March 11 2000,"March 4, 2000"
18,1522,1,3,2,playground,gemini-2.5-pro,date_fix_v1,October 13 1997,"Oct 12, 1997"
19,3263,0,3,15,playground,gemini-2.5-pro,date_fix_v1,April 29 2010,"Sunday, April 25, 2010"
20,1656,0,3,6,playground,gemini-2.5-pro,date_fix_v1,March 16 2012,"Sunday, March 11, 2012"
21,1872,0,3,12,playground,gemini-2.5-pro,date_fix_v1,October 13 1997,"Oct. 12, 1997"
22,3346,0,3,17,playground,gemini-2.5-pro,date_fix_v1,March 11 2000,"March 5, 2000"
23,3256,1,3,15,playground,gemini-2.5-pro,date_fix_v1,August 9 2014,"Sun, Aug 3, 2014"
24,1561,2,3,3,playground,gemini-2.5-pro,date_fix_v1,March 11 2000,"March 8, 2000"
25,1694,0,3,7,playground,gemini-2.5-pro,date_fix_v1,October 15 2007,Oct 15
26,1537,0,3,2,playground,gemini-2.5-pro,date_fix_v1,May 29 1994,"May 28, 1994"
27,3682,0,3,18,playground,gemini-2.5-pro,date_fix_v1,April 14 2008,"Monday, April 14"
28,1509,2,3,2,playground,gemini-2.5-pro,date_fix_v1,November 29 2014,"November 23, 2014"
29,3325,1,3,17,playground,gemini-2.5-pro,date_fix_v1,December 20 2000,"December 17, 2000"
30,1701,2,3,7,playground,gemini-2.5-pro,date_fix_v1,March 11 2000,"March 5, 2000"
31,1928,2,3,14,playground,gemini-2.5-pro,date_fix_v1,January 18 2014,2014-01-18
32,3308,2,3,16,playground,gemini-2.5-pro,date_fix_v1,January 21 1999,1999-01-21
33,1558,0,3,3,playground,gemini-2.5-pro,date_fix_v1,January 21 1999,"January 21, 1999"
34,1816,1,3,10,playground,gemini-2.5-pro,date_fix_v1,April 2 2011,"April 2, 2011"
35,1908,0,3,13,playground,gemini-2.5-pro,date_fix_v1,January 21 1999,1999-01-21
36,1770,0,3,9,playground,gemini-2.5-pro,date_fix_v1,September 8 1999,"September 8, 1999"
37,3347,1,3,17,playground,gemini-2.5-pro,date_fix_v1,June 2 1998,"June 2, 1998"
38,3691,0,3,18,playground,gemini-2.5-pro,date_fix_v1,October 11 2016,"October 11, 2016"
39,1628,1,3,5,playground,gemini-2.5-pro,date_fix_v1,January 21 1999,"January 21, 1999"
40,3284,0,3,15,playground,gemini-2.5-pro,date_fix_v1,September 15 2002,"Sun, Sep 15, 2002"
41,1935,1,3,14,playground,gemini-2.5-pro,date_fix_v1,June 9 2013,"Sunday, June 9, 2013"
42,1912,0,3,13,playground,gemini-2.5-pro,date_fix_v1,June 2 1998,1998-06-02
43,3257,1,3,15,playground,gemini-2.5-pro,date_fix_v1,February 22 2015,"Sun, Feb 22, 2015"
44,1665,2,3,6,playground,gemini-2.5-pro,date_fix_v1,September 8 1999,"September 8, 1999"
45,1524,0,3,2,playground,gemini-2.5-pro,date_fix_v1,November 13 1998,"November 13, 1998"
46,3281,2,3,15,playground,gemini-2.5-pro,date_fix_v1,May 26 2002,"Sunday, May 26, 2002"
47,1486,1,3,1,playground,gemini-2.5-pro,date_fix_v1,October 11 2016,"October 11, 2016"
48,1550,1,3,3,playground,gemini-2.5-pro,date_fix_v1,June 9 2013,2013-06-09
49,1890,0,3,13,playground,gemini-2.5-pro,date_fix_v1,December 20 2000,2000-12-20
50,3356,1,3,17,playground,gemini-2.5-pro,date_fix_v1,April 2 2011,"April 2, 2011"
51,1471,1,3,1,playground,gemini-2.5-pro,date_fix_v1,August 9 2014,"August 9, 2014"
52,3347,2,3,17,playground,gemini-2.5-pro,date_fix_v1,June 2 1998,"June 2, 1998"
53,1944,2,3,14,playground,gemini-2.5-pro,date_fix_v1,November 13 1998,"November 13, 1998"
54,1803,1,3,10,playground,gemini-2.5-pro,date_fix_v1,January 21 1999,"January 21, 1999"
55,1659,0,3,6,playground,gemini-2.5-pro,date_fix_v1,October 15 2007,"Monday, Oct. 15, 2007"
56,1787,2,3,10,playground,gemini-2.5-pro,date_fix_v1,February 22 2015,"Sun, Feb 22, 2015"
57,1524,1,3,2,playground,gemini-2.5-pro,date_fix_v1,November 13 1998,"November 13, 1998"
58,1621,2,3,5,playground,gemini-2.5-pro,date_fix_v1,March 16 2012,"Friday, March 16, 2012"
59,3312,1,3,16,playground,gemini-2.5-pro,date_fix_v1,June 2 1998,1998-06-02
60,1636,2,3,5,playground,gemini-2.5-pro,date_fix_v1,May 26 2002,2002-05-26
61,1644,2,3,5,playground,gemini-2.5-pro,date_fix_v1,November 17 to 21 1997,"Sunday, November 16 — Saturday, November 22, 1997"
62,1608,2,3,4,playground,gemini-2.5-pro,date_fix_v1,June 30-4 1997,"Sunday, June 29 - Saturday, July 5, 1997"
