eval_id,task_id,run_id,benchmark_id,model_id,judge_backend,judge_model,judge_prompt,expected_date,original_value
1001,1793,1,3,10,playground,gemini-2.5-flash,date_fix_v1,April 29 2010,"April 25, 2010"
1002,3704,1,3,18,playground,gemini-2.5-flash,date_fix_v1,September 15 2002,"September 15-21, 2002"
1003,1820,1,3,11,playground,gemini-2.5-flash,date_fix_v1,December 20 2000,"December 17, 2000"
1004,1491,0,3,1,playground,gemini-2.5-flash,date_fix_v1,March 11 2000,"March 5, 2000"
1005,1662,1,3,6,playground,gemini-2.5-flash,date_fix_v1,October 13 1997,"Oct. 12 - Oct. 18, 1997"
1006,1858,1,3,12,playground,gemini-2.5-flash,date_fix_v1,January 18 2014,"Sun, Jan 12, 2014"
1007,1850,0,3,11,playground,gemini-2.5-flash,date_fix_v1,November 8 1994,"Nov 6, 1994"
1008,1802,2,3,10,playground,gemini-2.5-flash,date_fix_v1,October 13 1997,"October 12, 1997"
1009,1691,0,3,7,playground,gemini-2.5-flash,date_fix_v1,March 16 2012,"Sun, Mar 11, 2012"
1010,1842,1,3,11,playground,gemini-2.5-flash,date_fix_v1,June 2 1998,June 2
1011,1785,2,3,10,playground,gemini-2.5-flash,date_fix_v1,December 20 2000,"December 17, 2000"
1012,1936,0,3,14,playground,gemini-2.5-flash,date_fix_v1,March 16 2012,2012-03-11
1013,1614,2,3,5,playground,gemini-2.5-flash,date_fix_v1,November 29 2014,2014-11-22
1014,1856,1,3,12,playground,gemini-2.5-flash,date_fix_v1,August 9 2014,"Sun, Aug 3, 2014"
1015,1555,1,3,3,playground,gemini-2.5-flash,date_fix_v1,October 24 2009,"Saturday, Oct. 24"
1016,1681,1,3,7,playground,gemini-2.5-flash,date_fix_v1,August 9 2014,"Aug 3, 2014"
1017,3696,2,3,18,playground,gemini-2.5-flash,date_fix_v1,March 11 2000,"March 4, 2000"
1018,1522,1,3,2,playground,gemini-2.5-flash,date_fix_v1,October 13 1997,"Oct 12, 1997"
1019,3263,0,3,15,playground,gemini-2.5-flash,date_fix_v1,April 29 2010,"Sunday, April 25, 2010"
1020,1656,0,3,6,playground,gemini-2.5-flash,date_fix_v1,March 16 2012,"Sunday, March 11, 2012"
1021,1872,0,3,12,playground,gemini-2.5-flash,date_fix_v1,October 13 1997,"Oct. 12, 1997"
1022,3346,0,3,17,playground,gemini-2.5-flash,date_fix_v1,March 11 2000,"March 5, 2000"
1023,3256,1,3,15,playground,gemini-2.5-flash,date_fix_v1,August 9 2014,"Sun, Aug 3, 2014"
1024,1561,2,3,3,playground,gemini-2.5-flash,date_fix_v1,March 11 2000,"March 8, 2000"
1025,1694,0,3,7,playground,gemini-2.5-flash,date_fix_v1,October 15 2007,Oct 15
1026,1537,0,3,2,playground,gemini-2.5-flash,date_fix_v1,May 29 1994,"May 28, 1994"
1027,3682,0,3,18,playground,gemini-2.5-flash,date_fix_v1,April 14 2008,"Monday, April 14"
1028,1509,2,3,2,playground,gemini-2.5-flash,date_fix_v1,November 29 2014,"November 23, 2014"
1029,3325,1,3,17,playground,gemini-2.5-flash,date_fix_v1,December 20 2000,"December 17, 2000"
1030,1701,2,3,7,playground,gemini-2.5-flash,date_fix_v1,March 11 2000,"March 5, 2000"
1031,1928,2,3,14,playground,gemini-2.5-flash,date_fix_v1,January 18 2014,2014-01-18
1032,3308,2,3,16,playground,gemini-2.5-flash,date_fix_v1,January 21 1999,1999-01-21
1033,1558,0,3,3,playground,gemini-2.5-flash,date_fix_v1,January 21 1999,"January 21, 1999"
1034,1816,1,3,10,playground,gemini-2.5-flash,date_fix_v1,April 2 2011,"April 2, 2011"
1035,1908,0,3,13,playground,gemini-2.5-flash,date_fix_v1,January 21 1999,1999-01-21
1036,1770,0,3,9,playground,gemini-2.5-flash,date_fix_v1,September 8 1999,"September 8, 1999"
1037,3347,1,3,17,playground,gemini-2.5-flash,date_fix_v1,June 2 1998,"June 2, 1998"
1038,3691,0,3,18,playground,gemini-2.5-flash,date_fix_v1,October 11 2016,"October 11, 2016"
1039,1628,1,3,5,playground,gemini-2.5-flash,date_fix_v1,January 21 1999,"January 21, 1999"
1040,3284,0,3,15,playground,gemini-2.5-flash,date_fix_v1,September 15 2002,"Sun, Sep 15, 2002"
1041,1935,1,3,14,playground,gemini-2.5-flash,date_fix_v1,June 9 2013,"Sunday, June 9, 2013"
1042,1912,0,3,13,playground,gemini-2.5-flash,date_fix_v1,June 2 1998,1998-06-02
1043,3257,1,3,15,playground,gemini-2.5-flash,date_fix_v1,February 22 2015,"Sun, Feb 22, 2015"
1044,1665,2,3,6,playground,gemini-2.5-flash,date_fix_v1,September 8 1999,"September 8, 1999"
1045,1524,0,3,2,playground,gemini-2.5-flash,date_fix_v1,November 13 1998,"November 13, 1998"
