task_id,benchmark_id,benchmark_name,model_id,model_name,image_id,image_name
0,0,newspaper_name,1,gpt-4,0,Arizona_Republic_Sun__Dec_17__2000_ (15).png
1,0,newspaper_name,1,gpt-4,1,Austin_American_Statesman_Sun__Aug_3__2014_ (10).png
2,0,newspaper_name,1,gpt-4,2,Austin_American_Statesman_Sun__Feb_22__2015_ (1).png
3,0,newspaper_name,1,gpt-4,3,Austin_American_Statesman_Sun__Jan_12__2014_ (10).png
4,0,newspaper_name,1,gpt-4,4,Austin_American_Statesman_Sun__Nov_23__2014_ (11).png
5,0,newspaper_name,1,gpt-4,5,Chicago_Tribune_Sun__May_28__1995_ (30).png
6,0,newspaper_name,1,gpt-4,6,Chicago_Tribune_Sun__Oct_30__1994_ (29).png
7,0,newspaper_name,1,gpt-4,7,Daily_News_Sun__Apr_13__2008_ (6).png
8,0,newspaper_name,1,gpt-4,8,Daily_News_Sun__Apr_25__2010_ (11).png
9,0,newspaper_name,1,gpt-4,9,Daily_News_Sun__Jun_17__2012_ (2).png
10,0,newspaper_name,1,gpt-4,10,Daily_News_Sun__Jun_9__2013_.png
11,0,newspaper_name,1,gpt-4,11,Daily_News_Sun__Mar_11__2012_ (17).png
12,0,newspaper_name,1,gpt-4,12,Daily_News_Sun__Mar_30__2014_ (2).png
13,0,newspaper_name,1,gpt-4,13,Daily_News_Sun__May_15__2016_ (12).png
14,0,newspaper_name,1,gpt-4,14,Daily_News_Sun__Oct_14__2007_ (8).png
15,0,newspaper_name,1,gpt-4,15,Daily_News_Sun__Oct_18__2009_ (33).png
16,0,newspaper_name,1,gpt-4,16,Honolulu_Star_Advertiser_Sun__Oct_9__2016_ (4).png
17,0,newspaper_name,1,gpt-4,17,Messenger_Inquirer_Sun__Oct_12__1997_ (5).png
18,0,newspaper_name,1,gpt-4,18,Statesman_Journal_Sun__Jan_17__1999_ (22).png
19,0,newspaper_name,1,gpt-4,19,Statesman_Journal_Sun__Nov_8__1998_ (24).png
20,0,newspaper_name,1,gpt-4,20,Statesman_Journal_Sun__Sep_5__1999_ (16).png
21,0,newspaper_name,1,gpt-4,21,The_Arizona_Republic_Sun__Mar_5__2000_ (32).png
22,0,newspaper_name,1,gpt-4,22,The_Californian_Sun__May_31__1998_ (7).png
23,0,newspaper_name,1,gpt-4,23,The_Honolulu_Advertiser_Sun__Feb_9__1997_ (11).png
24,0,newspaper_name,1,gpt-4,24,The_Honolulu_Advertiser_Sun__Mar_21__2004_ (15).png
25,0,newspaper_name,1,gpt-4,25,The_Honolulu_Advertiser_Sun__Mar_9__2003_ (2).png
26,0,newspaper_name,1,gpt-4,26,The_Honolulu_Advertiser_Sun__May_26__2002_ (1).png
27,0,newspaper_name,1,gpt-4,27,The_Honolulu_Advertiser_Sun__Sep_28__1997_ (16).png
28,0,newspaper_name,1,gpt-4,28,The_Kansas_City_Star_Sun__Apr_3__2005_ (2).png
29,0,newspaper_name,1,gpt-4,29,The_Kansas_City_Star_Sun__Sep_15__2002_ (2).png
30,0,newspaper_name,1,gpt-4,30,The_Monitor_Sun__Nov_6__1994_ (8).png
31,0,newspaper_name,1,gpt-4,31,The_News_Tribune_Sun__Mar_27__2011_ (17).png
32,0,newspaper_name,1,gpt-4,32,The_Palm_Beach_Post_Sun__May_22__1994_ (60).png
33,0,newspaper_name,1,gpt-4,33,The_Sentinel_Sun__Jun_29__1997_ (2).png
34,0,newspaper_name,1,gpt-4,34,The_Sentinel_Sun__Nov_16__1997_.png
35,0,newspaper_name,2,gpt-4.omini,0,Arizona_Republic_Sun__Dec_17__2000_ (15).png
36,0,newspaper_name,2,gpt-4.omini,1,Austin_American_Statesman_Sun__Aug_3__2014_ (10).png
37,0,newspaper_name,2,gpt-4.omini,2,Austin_American_Statesman_Sun__Feb_22__2015_ (1).png
38,0,newspaper_name,2,gpt-4.omini,3,Austin_American_Statesman_Sun__Jan_12__2014_ (10).png
39,0,newspaper_name,2,gpt-4.omini,4,Austin_American_Statesman_Sun__Nov_23__2014_ (11).png
40,0,newspaper_name,2,gpt-4.omini,5,Chicago_Tribune_Sun__May_28__1995_ (30).png
41,0,newspaper_name,2,gpt-4.omini,6,Chicago_Tribune_Sun__Oct_30__1994_ (29).png
42,0,newspaper_name,2,gpt-4.omini,7,Daily_News_Sun__Apr_13__2008_ (6).png
43,0,newspaper_name,2,gpt-4.omini,8,Daily_News_Sun__Apr_25__2010_ (11).png
44,0,newspaper_name,2,gpt-4.omini,9,Daily_News_Sun__Jun_17__2012_ (2).png
45,0,newspaper_name,2,gpt-4.omini,10,Daily_News_Sun__Jun_9__2013_.png
46,0,newspaper_name,2,gpt-4.omini,11,Daily_News_Sun__Mar_11__2012_ (17).png
47,0,newspaper_name,2,gpt-4.omini,12,Daily_News_Sun__Mar_30__2014_ (2).png
48,0,newspaper_name,2,gpt-4.omini,13,Daily_News_Sun__May_15__2016_ (12).png
49,0,newspaper_name,2,gpt-4.omini,14,Daily_News_Sun__Oct_14__2007_ (8).png
50,0,newspaper_name,2,gpt-4.omini,15,Daily_News_Sun__Oct_18__2009_ (33).png
51,0,newspaper_name,2,gpt-4.omini,16,Honolulu_Star_Advertiser_Sun__Oct_9__2016_ (4).png
52,0,newspaper_name,2,gpt-4.omini,17,Messenger_Inquirer_Sun__Oct_12__1997_ (5).png
53,0,newspaper_name,2,gpt-4.omini,18,Statesman_Journal_Sun__Jan_17__1999_ (22).png
54,0,newspaper_name,2,gpt-4.omini,19,Statesman_Journal_Sun__Nov_8__1998_ (24).png
55,0,newspaper_name,2,gpt-4.omini,20,Statesman_Journal_Sun__Sep_5__1999_ (16).png
56,0,newspaper_name,2,gpt-4.omini,21,The_Arizona_Republic_Sun__Mar_5__2000_ (32).png
57,0,newspaper_name,2,gpt-4.omini,22,The_Californian_Sun__May_31__1998_ (7).png
58,0,newspaper_name,2,gpt-4.omini,23,The_Honolulu_Advertiser_Sun__Feb_9__1997_ (11).png
59,0,newspaper_name,2,gpt-4.omini,24,The_Honolulu_Advertiser_Sun__Mar_21__2004_ (15).png
60,0,newspaper_name,2,gpt-4.omini,25,The_Honolulu_Advertiser_Sun__Mar_9__2003_ (2).png
61,0,newspaper_name,2,gpt-4.omini,26,The_Honolulu_Advertiser_Sun__May_26__2002_ (1).png
62,0,newspaper_name,2,gpt-4.omini,27,The_Honolulu_Advertiser_Sun__Sep_28__1997_ (16).png
63,0,newspaper_name,2,gpt-4.omini,28,The_Kansas_City_Star_Sun__Apr_3__2005_ (2).png
64,0,newspaper_name,2,gpt-4.omini,29,The_Kansas_City_Star_Sun__Sep_15__2002_ (2).png
65,0,newspaper_name,2,gpt-4.omini,30,The_Monitor_Sun__Nov_6__1994_ (8).png
66,0,newspaper_name,2,gpt-4.omini,31,The_News_Tribune_Sun__Mar_27__2011_ (17).png
67,0,newspaper_name,2,gpt-4.omini,32,The_Palm_Beach_Post_Sun__May_22__1994_ (60).png
68,0,newspaper_name,2,gpt-4.omini,33,The_Sentinel_Sun__Jun_29__1997_ (2).png
69,0,newspaper_name,2,gpt-4.omini,34,The_Sentinel_Sun__Nov_16__1997_.png
70,0,newspaper_name,3,gpt-4o,0,Arizona_Republic_Sun__Dec_17__2000_ (15).png
71,0,newspaper_name,3,gpt-4o,1,Austin_American_Statesman_Sun__Aug_3__2014_ (10).png
72,0,newspaper_name,3,gpt-4o,2,Austin_American_Statesman_Sun__Feb_22__2015_ (1).png
73,0,newspaper_name,3,gpt-4o,3,Austin_American_Statesman_Sun__Jan_12__2014_ (10).png
74,0,newspaper_name,3,gpt-4o,4,Austin_American_Statesman_Sun__Nov_23__2014_ (11).png
75,0,newspaper_name,3,gpt-4o,5,Chicago_Tribune_Sun__May_28__1995_ (30).png
76,0,newspaper_name,3,gpt-4o,6,Chicago_Tribune_Sun__Oct_30__1994_ (29).png
77,0,newspaper_name,3,gpt-4o,7,Daily_News_Sun__Apr_13__2008_ (6).png
78,0,newspaper_name,3,gpt-4o,8,Daily_News_Sun__Apr_25__2010_ (11).png
79,0,newspaper_name,3,gpt-4o,9,Daily_News_Sun__Jun_17__2012_ (2).png
80,0,newspaper_name,3,gpt-4o,10,Daily_News_Sun__Jun_9__2013_.png
81,0,newspaper_name,3,gpt-4o,11,Daily_News_Sun__Mar_11__2012_ (17).png
82,0,newspaper_name,3,gpt-4o,12,Daily_News_Sun__Mar_30__2014_ (2).png
83,0,newspaper_name,3,gpt-4o,13,Daily_News_Sun__May_15__2016_ (12).png
84,0,newspaper_name,3,gpt-4o,14,Daily_News_Sun__Oct_14__2007_ (8).png
85,0,newspaper_name,3,gpt-4o,15,Daily_News_Sun__Oct_18__2009_ (33).png
86,0,newspaper_name,3,gpt-4o,16,Honolulu_Star_Advertiser_Sun__Oct_9__2016_ (4).png
87,0,newspaper_name,3,gpt-4o,17,Messenger_Inquirer_Sun__Oct_12__1997_ (5).png
88,0,newspaper_name,3,gpt-4o,18,Statesman_Journal_Sun__Jan_17__1999_ (22).png
89,0,newspaper_name,3,gpt-4o,19,Statesman_Journal_Sun__Nov_8__1998_ (24).png
90,0,newspaper_name,3,gpt-4o,20,Statesman_Journal_Sun__Sep_5__1999_ (16).png
91,0,newspaper_name,3,gpt-4o,21,The_Arizona_Republic_Sun__Mar_5__2000_ (32).png
92,0,newspaper_name,3,gpt-4o,22,The_Californian_Sun__May_31__1998_ (7).png
93,0,newspaper_name,3,gpt-4o,23,The_Honolulu_Advertiser_Sun__Feb_9__1997_ (11).png
94,0,newspaper_name,3,gpt-4o,24,The_Honolulu_Advertiser_Sun__Mar_21__2004_ (15).png
